model,image,raw_max,n_unique_top20,n_above_0.1,n_above_0.3,n_above_0.5,n_gts,mean_best_iou,mean_best_iou_score,mean_best_score,mean_best_score_iou
yolov8_existing_mix,003a746b-1s1b_0216.jpg,0.5034,6,21,15,14,2,0.8017,0.5034,0.5034,0.8017
yolov8_existing_mix,0148e2fc-2s1b_0030.jpg,0.5034,1,29,24,20,3,0.8222,0.5034,0.5034,0.5467
yolov8_existing_mix,01e56103-1s0b_0026.jpg,0.5034,14,11,7,5,1,0.8446,0.5034,0.5034,0.8446
yolov8_existing_mix,024b8494-0s1b_0068.jpg,0.5034,19,8,5,1,1,0.7946,0.5034,0.5034,0.7946
yolov8_existing_mix,031cf63e-2s1b_0123.jpg,0.5034,1,30,25,21,3,0.7897,0.5034,0.5034,0.4990
yolov8_existing_mix,03588042-1s1b_0018.jpg,0.5034,4,22,19,17,2,0.8424,0.5034,0.5034,0.8424
yolov8_existing_mix,03cb1869-1s1b_0028.jpg,0.5034,2,21,20,19,2,0.8820,0.5034,0.5034,0.8820
yolov8_existing_mix,04885a34-1s0b_0009.jpg,0.5034,12,11,9,7,1,0.7848,0.5034,0.5034,0.7848
yolov8_existing_mix,049a61de-1s1b_0112.jpg,0.5034,4,21,18,17,2,0.8780,0.5034,0.5034,0.8780
yolov8_existing_mix,04a01ca9-0s1b_0177.jpg,0.5034,14,10,6,3,1,0.8402,0.5034,0.5034,0.8402
yolov8_existing_mix,04f0c278-1s1b_0187.jpg,0.5034,3,20,19,18,2,0.8312,0.5034,0.5034,0.8312
yolov8_existing_mix,064d33e6-1s0b_0260.jpg,0.5034,9,10,10,10,1,0.8004,0.5034,0.5034,0.8004
yolov8_existing_mix,c27f5e94-2s1b_0031.jpg,0.5034,3,27,22,18,3,0.8713,0.5034,0.5034,0.5876
