model,image,raw_max,n_unique_top20,n_above_0.1,n_above_0.3,n_above_0.5,n_gts,mean_best_iou,mean_best_iou_score,mean_best_score,mean_best_score_iou
yolov8_kld_i16act_u8w_calib74,003a746b-1s1b_0216.jpg,0.7539,20,22,18,15,2,0.8274,0.7266,0.7266,0.8274
yolov8_kld_i16act_u8w_calib74,0148e2fc-2s1b_0030.jpg,0.8018,18,29,25,22,3,0.8640,0.7269,0.7611,0.5869
yolov8_kld_i16act_u8w_calib74,01e56103-1s0b_0026.jpg,0.6753,19,11,8,6,1,0.8773,0.6753,0.6753,0.8773
yolov8_kld_i16act_u8w_calib74,024b8494-0s1b_0068.jpg,0.5347,20,9,6,2,1,0.8284,0.5347,0.5347,0.8284
yolov8_kld_i16act_u8w_calib74,031cf63e-2s1b_0123.jpg,0.7949,18,31,29,24,3,0.8175,0.7303,0.7694,0.5566
yolov8_kld_i16act_u8w_calib74,03588042-1s1b_0018.jpg,0.7432,20,21,20,17,2,0.8603,0.7393,0.7393,0.8603
yolov8_kld_i16act_u8w_calib74,03cb1869-1s1b_0028.jpg,0.8242,18,21,20,18,2,0.8772,0.7708,0.7708,0.8772
yolov8_kld_i16act_u8w_calib74,04885a34-1s0b_0009.jpg,0.7153,16,11,10,8,1,0.8112,0.7153,0.7153,0.8112
yolov8_kld_i16act_u8w_calib74,049a61de-1s1b_0112.jpg,0.8271,19,21,18,18,2,0.8935,0.7905,0.7905,0.8935
yolov8_kld_i16act_u8w_calib74,04a01ca9-0s1b_0177.jpg,0.6479,19,10,10,5,1,0.8157,0.6479,0.6479,0.8157
yolov8_kld_i16act_u8w_calib74,04f0c278-1s1b_0187.jpg,0.8179,20,21,20,18,2,0.8339,0.7666,0.7666,0.8339
yolov8_kld_i16act_u8w_calib74,064d33e6-1s0b_0260.jpg,0.7759,18,10,10,10,1,0.8069,0.7759,0.7759,0.8069
yolov8_kld_i16act_u8w_calib74,c27f5e94-2s1b_0031.jpg,0.8164,19,27,23,19,3,0.8250,0.7371,0.7751,0.5839
