name, cosine_error, mre_error
input_PreDequantize, 1, 0.00012209
Mean, 0.9999998, 0.0008836267
input_SubMean, 0.99999154, 0.0041198977
Std, 0.99999905, 0.0013389507
input_DivStd, 0.99998325, 0.005495561
onnx::Conv_694, 0.9999941, 0.0042626243
/backbone/features.0/features.0.0/Conv_output_0, 0.9998235, 0.036540948
/backbone/features.0/features.0.2/Mul_output_0, 0.9979614, 0.081460565
onnx::Conv_697, 0.99999535, 0.0034891062
/backbone/features.1/block.0/block.0.2/Relu_output_0, 0.96313137, 0.14004701
/backbone/features.1/block.1/GlobalAveragePool_output_0, 0.9958139, 0.06537298
backbone.model.features.1.block.1.fc1.weight, 0.99999464, 0.0036296886
/backbone/features.1/block.1/Relu_output_0, 0.9886056, 0.13872048
backbone.model.features.1.block.1.fc2.weight, 0.99999416, 0.004072466
/backbone/features.1/block.1/fc2/Conv_output_0, 0.99256104, 0.091125734
/backbone/features.1/block.1/HardSigmoid_output_0, 0.9954274, 0.054898813
/backbone/features.1/block.1/Mul_output_0, 0.7259286, 0.30938178
onnx::Conv_700, 0.99999464, 0.00447222
/backbone/features.1/block.2/block.2.0/Conv_output_0, 0.5126255, 0.62496364
onnx::Conv_703, 0.9999938, 0.004749072
/backbone/features.2/block.0/block.0.2/Relu_output_0, 0.5945537, 0.59420216
onnx::Conv_706, 0.99999225, 0.003976354
/backbone/features.2/block.1/block.1.2/Relu_output_0, 0.5419016, 0.7604875
onnx::Conv_709, 0.99998295, 0.0066219443
/backbone/features.2/block.2/block.2.0/Conv_output_0, 0.56598437, 1.1616788
onnx::Conv_712, 0.9999912, 0.0046902723
/backbone/features.3/block.0/block.0.2/Relu_output_0, 0.68019164, 0.77966386
onnx::Conv_715, 0.99999267, 0.004645874
/backbone/features.3/block.1/block.1.2/Relu_output_0, 0.51827174, 1.5491873
onnx::Conv_718, 0.9999875, 0.0054459865
/backbone/features.3/block.2/block.2.0/Conv_output_0, 0.52185726, 1.7172467
/backbone/features.3/Add_output_0, 0.54678524, 1.3765699
onnx::Conv_721, 0.99998957, 0.004900418
/backbone/features.4/block.0/block.0.0/Conv_output_0, 0.5674482, 1.2021759
/backbone/features.4/block.0/block.0.2/Mul_output_0, 0.6013964, 1.1581643
onnx::Conv_724, 0.9999882, 0.005307026
/backbone/features.4/block.1/block.1.0/Conv_output_0, 0.66621435, 1.0455196
/backbone/features.4/block.1/block.1.2/Mul_output_0, 0.6849166, 0.98244786
/backbone/features.4/block.2/GlobalAveragePool_output_0, 0.9098911, 0.54613346
backbone.model.features.4.block.2.fc1.weight, 0.999981, 0.007320253
/backbone/features.4/block.2/Relu_output_0, 0.90233266, 0.5164481
backbone.model.features.4.block.2.fc2.weight, 0.99999195, 0.004688908
/backbone/features.4/block.2/fc2/Conv_output_0, 0.942784, 0.35504037
/backbone/features.4/block.2/HardSigmoid_output_0, 0.98494005, 0.11607548
/backbone/features.4/block.2/Mul_output_0, 0.51384676, 1.3649025
onnx::Conv_727, 0.99998564, 0.0058995765
/backbone/features.4/block.3/block.3.0/Conv_output_0, 0.52573746, 1.64776
onnx::Conv_730, 0.99998826, 0.005032912
/backbone/features.5/block.0/block.0.0/Conv_output_0, 0.5548875, 1.5156277
/backbone/features.5/block.0/block.0.2/Mul_output_0, 0.6340946, 1.4175726
onnx::Conv_733, 0.9999786, 0.010536627
/backbone/features.5/block.1/block.1.0/Conv_output_0, 0.68406594, 1.8032222
/backbone/features.5/block.1/block.1.2/Mul_output_0, 0.4188644, 2.1018898
/backbone/features.5/block.2/GlobalAveragePool_output_0, 0.8255284, 1.6621678
backbone.model.features.5.block.2.fc1.weight, 0.99996436, 0.009885282
/backbone/features.5/block.2/Relu_output_0, 0.8792543, 1.8441548
backbone.model.features.5.block.2.fc2.weight, 0.99998385, 0.006600476
/backbone/features.5/block.2/fc2/Conv_output_0, 0.89847547, 1.8864989
/backbone/features.5/block.2/HardSigmoid_output_0, 0.9137685, 0.34081635
/backbone/features.5/block.2/Mul_output_0, 0.3399407, 1.8239042
onnx::Conv_736, 0.99997705, 0.00735061
/backbone/features.5/block.3/block.3.0/Conv_output_0, 0.35422844, 2.123628
/backbone/features.5/Add_output_0, 0.4393206, 1.9177141
onnx::Conv_739, 0.99998885, 0.005072444
/backbone/features.6/block.0/block.0.0/Conv_output_0, 0.4589748, 1.6831639
/backbone/features.6/block.0/block.0.2/Mul_output_0, 0.45004323, 1.850163
onnx::Conv_742, 0.99997956, 0.009301626
/backbone/features.6/block.1/block.1.0/Conv_output_0, 0.37712464, 2.0764403
/backbone/features.6/block.1/block.1.2/Mul_output_0, 0.3471976, 2.459678
/backbone/features.6/block.2/GlobalAveragePool_output_0, 0.73001873, 2.1495988
backbone.model.features.6.block.2.fc1.weight, 0.9999672, 0.009613892
/backbone/features.6/block.2/Relu_output_0, 0.6976871, 1.9770439
backbone.model.features.6.block.2.fc2.weight, 0.999988, 0.00537888
/backbone/features.6/block.2/fc2/Conv_output_0, 0.7251938, 2.3277645
/backbone/features.6/block.2/HardSigmoid_output_0, 0.8069323, 0.5918073
/backbone/features.6/block.2/Mul_output_0, 0.25750655, 2.4399042
onnx::Conv_745, 0.99998003, 0.0070971022
/backbone/features.6/block.3/block.3.0/Conv_output_0, 0.3005853, 2.7746348
/backbone/features.6/Add_output_0, 0.400989, 2.1535664
onnx::Conv_748, 0.9999892, 0.005137495
/backbone/features.7/block.0/block.0.0/Conv_output_0, 0.4119446, 2.0088441
/backbone/features.7/block.0/block.0.2/Mul_output_0, 0.42839614, 1.8612174
onnx::Conv_751, 0.9999819, 0.008129168
/backbone/features.7/block.1/block.1.0/Conv_output_0, 0.3488285, 1.9036264
/backbone/features.7/block.1/block.1.2/Mul_output_0, 0.3802258, 2.041386
/backbone/features.7/block.2/GlobalAveragePool_output_0, 0.8393543, 1.5323845
backbone.model.features.7.block.2.fc1.weight, 0.9999786, 0.007586048
/backbone/features.7/block.2/Relu_output_0, 0.9307381, 1.1566796
backbone.model.features.7.block.2.fc2.weight, 0.9999909, 0.0047614826
/backbone/features.7/block.2/fc2/Conv_output_0, 0.9428292, 1.0895439
/backbone/features.7/block.2/HardSigmoid_output_0, 0.9592016, 0.22942102
/backbone/features.7/block.2/Mul_output_0, 0.4353168, 1.7335683
onnx::Conv_754, 0.9999854, 0.0059151175
/backbone/features.7/block.3/block.3.0/Conv_output_0, 0.4448082, 1.8323131
/backbone/features.7/Add_output_0, 0.37423283, 2.2102082
onnx::Conv_757, 0.9999891, 0.0051195594
/backbone/features.8/block.0/block.0.0/Conv_output_0, 0.40656725, 2.171468
/backbone/features.8/block.0/block.0.2/Mul_output_0, 0.34875375, 2.4482274
onnx::Conv_760, 0.99997944, 0.008109494
/backbone/features.8/block.1/block.1.0/Conv_output_0, 0.34037688, 2.7107036
/backbone/features.8/block.1/block.1.2/Mul_output_0, 0.3818684, 3.3403835
/backbone/features.8/block.2/GlobalAveragePool_output_0, 0.74171734, 3.2527633
backbone.model.features.8.block.2.fc1.weight, 0.9999761, 0.007968029
/backbone/features.8/block.2/Relu_output_0, 0.6564875, 2.965881
backbone.model.features.8.block.2.fc2.weight, 0.9999877, 0.005449745
/backbone/features.8/block.2/fc2/Conv_output_0, 0.661494, 2.558389
/backbone/features.8/block.2/HardSigmoid_output_0, 0.7984874, 0.5811602
/backbone/features.8/block.2/Mul_output_0, 0.41661802, 3.6140964
onnx::Conv_763, 0.9999853, 0.0059098005
/backbone/features.8/block.3/block.3.0/Conv_output_0, 0.42199174, 4.076417
/backbone/features.8/Add_output_0, 0.42438027, 2.5778644
onnx::Conv_766, 0.99998987, 0.004915802
/backbone/features.9/block.0/block.0.0/Conv_output_0, 0.5285935, 1.983652
/backbone/features.9/block.0/block.0.2/Mul_output_0, 0.32547677, 2.532141
onnx::Conv_769, 0.99999344, 0.0040108752
/backbone/features.9/block.1/block.1.0/Conv_output_0, 0.5064938, 2.598619
/backbone/features.9/block.1/block.1.2/Mul_output_0, 0.44565973, 3.0690362
/backbone/features.9/block.2/GlobalAveragePool_output_0, 0.7783584, 3.0815403
backbone.model.features.9.block.2.fc1.weight, 0.9999689, 0.009305308
/backbone/features.9/block.2/Relu_output_0, 0.859481, 3.67706
backbone.model.features.9.block.2.fc2.weight, 0.9999839, 0.006649074
/backbone/features.9/block.2/fc2/Conv_output_0, 0.91922957, 3.2545247
/backbone/features.9/block.2/HardSigmoid_output_0, 0.8662274, 0.4922568
/backbone/features.9/block.2/Mul_output_0, 0.3705918, 2.1651554
onnx::Conv_772, 0.9999796, 0.006901278
/backbone/features.9/block.3/block.3.0/Conv_output_0, 0.30026087, 3.497724
onnx::Conv_775, 0.99998677, 0.0055569434
/backbone/features.10/block.0/block.0.0/Conv_output_0, 0.31041816, 3.1642313
/backbone/features.10/block.0/block.0.2/Mul_output_0, 0.37092426, 4.112527
onnx::Conv_778, 0.9999827, 0.007813408
/backbone/features.10/block.1/block.1.0/Conv_output_0, 0.3653279, 4.2880354
/backbone/features.10/block.1/block.1.2/Mul_output_0, 0.40243542, 5.422175
/backbone/features.10/block.2/GlobalAveragePool_output_0, 0.7737436, 6.224893
backbone.model.features.10.block.2.fc1.weight, 0.9999478, 0.01262088
/backbone/features.10/block.2/Relu_output_0, 0.8396327, 6.6403146
backbone.model.features.10.block.2.fc2.weight, 0.99997693, 0.008630227
/backbone/features.10/block.2/fc2/Conv_output_0, 0.94169635, 5.455871
/backbone/features.10/block.2/HardSigmoid_output_0, 0.7854425, 0.64890903
/backbone/features.10/block.2/Mul_output_0, 0.21586339, 6.015018
onnx::Conv_781, 0.99997735, 0.0073040957
/backbone/features.10/block.3/block.3.0/Conv_output_0, 0.14024489, 9.487859
/backbone/features.10/Add_output_0, 0.20021017, 7.2828197
onnx::Conv_784, 0.9999869, 0.005455069
/backbone/features.11/block.0/block.0.0/Conv_output_0, 0.20938498, 7.6059856
/backbone/features.11/block.0/block.0.2/Mul_output_0, 0.191674, 4.5037584
onnx::Conv_787, 0.9999856, 0.0071561714
/backbone/features.11/block.1/block.1.0/Conv_output_0, 0.20094566, 5.3920403
/backbone/features.11/block.1/block.1.2/Mul_output_0, 0.22178671, 5.8517237
/backbone/features.11/block.2/GlobalAveragePool_output_0, 0.43582004, 6.7139792
backbone.model.features.11.block.2.fc1.weight, 0.9999575, 0.012125211
/backbone/features.11/block.2/Relu_output_0, 0.77965, 9.680981
backbone.model.features.11.block.2.fc2.weight, 0.9999754, 0.009202313
/backbone/features.11/block.2/fc2/Conv_output_0, 0.89708287, 6.7729177
/backbone/features.11/block.2/HardSigmoid_output_0, 0.8169624, 0.4690079
/backbone/features.11/block.2/Mul_output_0, 0.22377004, 10.09802
onnx::Conv_790, 0.9999791, 0.007029904
/backbone/features.11/block.3/block.3.0/Conv_output_0, 0.17644224, 12.640851
/backbone/features.11/Add_output_0, 0.2725679, 9.039176
onnx::Conv_799, 0.999992, 0.003999009
/adapt_layers/layer2/conv/Conv_output_0, 0.2758584, 8.763545
/neck/Resize_output_0, 0.2758584, 8.763397
onnx::Conv_796, 0.9999931, 0.003741249
/adapt_layers/layer1/conv/Conv_output_0, 0.40790603, 2.658945
/neck/Concat_output_0, 0.301353, 6.2810016
onnx::Conv_802, 0.9999569, 0.010587053
/neck/P4_1/cv1/conv/Conv_output_0, 0.3293167, 6.304894
/neck/P4_1/cv1/act/Mul_output_0, 0.4211267, 5.530493
onnx::Conv_805, 0.9999829, 0.0067714686
/neck/P4_1/m/m.0/cv1/conv/Conv_output_0, 0.4473674, 6.59597
/neck/P4_1/m/m.0/cv1/act/Mul_output_0, 0.40960518, 7.2405443
onnx::Conv_808, 0.9999574, 0.010687871
/neck/P4_1/m/m.0/cv2/conv/Conv_output_0, 0.527284, 8.175292
/neck/P4_1/m/m.0/cv2/act/Mul_output_0, 0.49322918, 9.437251
onnx::Conv_811, 0.9999629, 0.009913118
/neck/P4_1/cv2/conv/Conv_output_0, 0.3699711, 5.2796474
/neck/P4_1/cv2/act/Mul_output_0, 0.47984445, 4.165289
/neck/P4_1/Concat_output_0, 0.46408525, 5.6529016
onnx::Conv_814, 0.9999708, 0.008844435
/neck/P4_1/cv3/conv/Conv_output_0, 0.5093606, 5.6677322
/neck/P4_1/cv3/act/Mul_output_0, 0.3973732, 5.4473143
onnx::Conv_817, 0.99997145, 0.00876866
/neck/P4_2/conv/Conv_output_0, 0.36710554, 4.585991
/neck/P4_2/act/Mul_output_0, 0.4361812, 4.723107
/pan/Resize_output_0, 0.4361812, 4.7253747
onnx::Conv_793, 0.9999937, 0.0035196787
/adapt_layers/layer0/conv/Conv_output_0, 0.5524972, 1.2937824
/pan/Concat_output_0, 0.4337677, 2.7581875
onnx::Conv_820, 0.99997056, 0.009288206
/pan/P3/cv1/conv/Conv_output_0, 0.44408697, 3.0131803
/pan/P3/cv1/act/Mul_output_0, 0.42340785, 3.0272827
onnx::Conv_823, 0.9999873, 0.005992869
/pan/P3/m/m.0/cv1/conv/Conv_output_0, 0.35587174, 2.6601279
/pan/P3/m/m.0/cv1/act/Mul_output_0, 0.5037234, 1.6477365
onnx::Conv_826, 0.9999613, 0.010150566
/pan/P3/m/m.0/cv2/conv/Conv_output_0, 0.52787983, 1.8234234
/pan/P3/m/m.0/cv2/act/Mul_output_0, 0.6037455, 1.4558293
onnx::Conv_829, 0.9999657, 0.010652571
