Name, Mac, FLOPs, OnChipMemTraffic, OffChipMemTraffic, OffChipMemLWTraffic, OffChipLoadStoreCnt, Time
TileConcat_0, 0, 0, 151200, 302400, 0, 3, 0.0
TileLayerGroup_0, 0, 0, 1826334, 151200, 14, 3, 0.0
TileLayerGroup_1, 0, 0, 3480122, 113400, 42, 3, 0.0
TileLayerGroup_2, 403200, 403200, 4266236, 1713600, 255, 2, 0.0
TileLayerGroup_3, 0, 0, 3225600, 3225600, 0, 2, 0.0
TileSplit_0, 0, 0, 1663200, 3326400, 0, 3, 0.0
TileConcat_1, 0, 0, 1663200, 3326400, 0, 4, 0.0
TileConcat_2, 0, 0, 1267200, 2534400, 0, 3, 0.0
TileLayerGroup_4, 373555200, 373555200, 7077316, 1536000, 80900, 2, 0.0
TileLayerGroup_5, 19660800, 19660800, 2910562, 614400, 5154, 2, 0.0
TileLayerGroup_6, 68812800, 68812800, 4267686, 768000, 16070, 2, 0.0
TileAct1_0, 0, 0, 2414976, 384000, 896, 2, 0.0
TileLayerGroup_7, 29491200, 29491200, 2701252, 230400, 27652, 2, 0.0
TileLayerGroup_8, 68812800, 68812800, 2945574, 384000, 60518, 2, 0.0
TileAct1_1, 0, 0, 2031872, 192000, 1792, 2, 0.0
TileLayerGroup_9, 49152000, 50688000, 5198020, 652800, 182084, 2, 0.0
TileLayerGroup_10, 29491200, 30412800, 2115268, 230400, 107332, 2, 0.0
TileLayerGroup_11, 58982400, 59904000, 2239270, 115200, 207526, 2, 0.0
TileLayerGroup_12, 88473600, 88473600, 3146338, 230400, 298850, 2, 0.0
TileLayerGroup_13, 19660800, 19660800, 1951842, 307200, 18402, 2, 0.0
TileLayerGroup_14, 157286400, 157286400, 5765422, 230400, 141166, 2, 0.0
TileLayerGroup_15, 88473600, 88473600, 2937954, 460800, 75746, 2, 0.0
TileLayerGroup_16, 19660800, 19660800, 2910562, 614400, 5154, 2, 0.0
TileLayerGroup_17, 108134400, 108134400, 6511850, 460800, 26314, 2, 0.0
TileLayerGroup_18, 108134400, 108134400, 7900228, 921600, 21092, 2, 0.0
TileLayerGroup_19, 58982400, 58982400, 8029766, 921600, 4310, 2, 0.0
TileLayerGroup_20, 221184000, 221184000, 14386756, 1536000, 7252, 2, 0.0
TileLayerGroup_21, 9830400, 9830400, 3231778, 921600, 850, 2, 0.0
TileLayerGroup_22, 9830400, 9830400, 1612770, 460800, 2626, 2, 0.0
TileLayerGroup_23, 9830400, 9830400, 1056610, 230400, 9250, 2, 0.0
TileLayerGroup_24, 9830400, 10137600, 758882, 115200, 35810, 2, 0.0
TileLayerGroup_25, 0, 0, 2031872, 307200, 1792, 2, 0.0
TileLayerGroup_26, 0, 0, 2031872, 307200, 1792, 2, 0.0
TileLayerGroup_27, 0, 0, 2031872, 307200, 1792, 2, 0.0
TileLayerGroup_28, 19660800, 19660800, 1618786, 384000, 17442, 2, 0.0
TileLayerGroup_29, 19660800, 19660800, 2290914, 768000, 4674, 2, 0.0
TileLayerGroup_30, 354508800, 354508800, 5503644, 345600, 76002, 2, 0.0
TileConcat_3, 0, 0, 316800, 633600, 0, 3, 0.0
TileLayerGroup_31, 137625600, 137625600, 2418628, 460800, 117764, 2, 0.0
TileLayerGroup_32, 19660800, 19660800, 1951842, 307200, 18402, 2, 0.0
TileLayerGroup_33, 58982400, 58982400, 2383398, 230400, 52326, 2, 0.0
TileLayerGroup_34, 44236800, 44236800, 1626466, 384000, 37922, 2, 0.0
TileLayerGroup_35, 9830400, 9830400, 1056610, 230400, 9250, 2, 0.0
TileLayerGroup_36, 132864000, 132864000, 2002716, 163200, 112866, 2, 0.0
TileConcat_4, 0, 0, 79200, 158400, 0, 3, 0.0
TileLayerGroup_37, 56524800, 56678400, 1304516, 153600, 192004, 2, 0.0
TileLayerGroup_38, 19660800, 20275200, 1433186, 153600, 71522, 2, 0.0
TileLayerGroup_39, 58982400, 59904000, 2110758, 115200, 205734, 2, 0.0
TileLayerGroup_40, 44236800, 44236800, 1653858, 192000, 149474, 2, 0.0
TileLayerGroup_41, 9830400, 10137600, 758882, 115200, 35810, 2, 0.0
TileLayerGroup_42, 55334400, 55339200, 1187612, 79200, 186610, 2, 0.0
TileLayerGroup_43, 0, 0, 3472428, 151200, 28, 3, 0.0
TileLayerGroup_44, 0, 0, 1721694, 63000, 14, 2, 0.0
TileLayerGroup_45, 0, 0, 1779872, 100800, 112, 2, 0.0
