backbone.model.features.0.0.weight                                     (8, 3, 3, 3)                   torch.float32        numel=216
backbone.model.features.0.1.weight                                     (8,)                           torch.float32        numel=8
backbone.model.features.0.1.bias                                       (8,)                           torch.float32        numel=8
backbone.model.features.0.1.running_mean                               (8,)                           torch.float32        numel=8
backbone.model.features.0.1.running_var                                (8,)                           torch.float32        numel=8
backbone.model.features.0.1.num_batches_tracked                        ()                             torch.int64          numel=1
backbone.model.features.1.block.0.0.weight                             (8, 1, 3, 3)                   torch.float32        numel=72
backbone.model.features.1.block.0.1.weight                             (8,)                           torch.float32        numel=8
backbone.model.features.1.block.0.1.bias                               (8,)                           torch.float32        numel=8
backbone.model.features.1.block.0.1.running_mean                       (8,)                           torch.float32        numel=8
backbone.model.features.1.block.0.1.running_var                        (8,)                           torch.float32        numel=8
backbone.model.features.1.block.0.1.num_batches_tracked                ()                             torch.int64          numel=1
backbone.model.features.1.block.1.fc1.weight                           (8, 8, 1, 1)                   torch.float32        numel=64
backbone.model.features.1.block.1.fc1.bias                             (8,)                           torch.float32        numel=8
backbone.model.features.1.block.1.fc2.weight                           (8, 8, 1, 1)                   torch.float32        numel=64
backbone.model.features.1.block.1.fc2.bias                             (8,)                           torch.float32        numel=8
backbone.model.features.1.block.2.0.weight                             (8, 8, 1, 1)                   torch.float32        numel=64
backbone.model.features.1.block.2.1.weight                             (8,)                           torch.float32        numel=8
backbone.model.features.1.block.2.1.bias                               (8,)                           torch.float32        numel=8
backbone.model.features.1.block.2.1.running_mean                       (8,)                           torch.float32        numel=8
backbone.model.features.1.block.2.1.running_var                        (8,)                           torch.float32        numel=8
backbone.model.features.1.block.2.1.num_batches_tracked                ()                             torch.int64          numel=1
backbone.model.features.2.block.0.0.weight                             (40, 8, 1, 1)                  torch.float32        numel=320
backbone.model.features.2.block.0.1.weight                             (40,)                          torch.float32        numel=40
backbone.model.features.2.block.0.1.bias                               (40,)                          torch.float32        numel=40
backbone.model.features.2.block.0.1.running_mean                       (40,)                          torch.float32        numel=40
backbone.model.features.2.block.0.1.running_var                        (40,)                          torch.float32        numel=40
backbone.model.features.2.block.0.1.num_batches_tracked                ()                             torch.int64          numel=1
backbone.model.features.2.block.1.0.weight                             (40, 1, 3, 3)                  torch.float32        numel=360
backbone.model.features.2.block.1.1.weight                             (40,)                          torch.float32        numel=40
backbone.model.features.2.block.1.1.bias                               (40,)                          torch.float32        numel=40
backbone.model.features.2.block.1.1.running_mean                       (40,)                          torch.float32        numel=40
backbone.model.features.2.block.1.1.running_var                        (40,)                          torch.float32        numel=40
backbone.model.features.2.block.1.1.num_batches_tracked                ()                             torch.int64          numel=1
backbone.model.features.2.block.2.0.weight                             (16, 40, 1, 1)                 torch.float32        numel=640
backbone.model.features.2.block.2.1.weight                             (16,)                          torch.float32        numel=16
backbone.model.features.2.block.2.1.bias                               (16,)                          torch.float32        numel=16
backbone.model.features.2.block.2.1.running_mean                       (16,)                          torch.float32        numel=16
backbone.model.features.2.block.2.1.running_var                        (16,)                          torch.float32        numel=16
backbone.model.features.2.block.2.1.num_batches_tracked                ()                             torch.int64          numel=1
backbone.model.features.3.block.0.0.weight                             (48, 16, 1, 1)                 torch.float32        numel=768
backbone.model.features.3.block.0.1.weight                             (48,)                          torch.float32        numel=48
backbone.model.features.3.block.0.1.bias                               (48,)                          torch.float32        numel=48
backbone.model.features.3.block.0.1.running_mean                       (48,)                          torch.float32        numel=48
backbone.model.features.3.block.0.1.running_var                        (48,)                          torch.float32        numel=48
backbone.model.features.3.block.0.1.num_batches_tracked                ()                             torch.int64          numel=1
backbone.model.features.3.block.1.0.weight                             (48, 1, 3, 3)                  torch.float32        numel=432
backbone.model.features.3.block.1.1.weight                             (48,)                          torch.float32        numel=48
backbone.model.features.3.block.1.1.bias                               (48,)                          torch.float32        numel=48
backbone.model.features.3.block.1.1.running_mean                       (48,)                          torch.float32        numel=48
backbone.model.features.3.block.1.1.running_var                        (48,)                          torch.float32        numel=48
backbone.model.features.3.block.1.1.num_batches_tracked                ()                             torch.int64          numel=1
backbone.model.features.3.block.2.0.weight                             (16, 48, 1, 1)                 torch.float32        numel=768
backbone.model.features.3.block.2.1.weight                             (16,)                          torch.float32        numel=16
backbone.model.features.3.block.2.1.bias                               (16,)                          torch.float32        numel=16
backbone.model.features.3.block.2.1.running_mean                       (16,)                          torch.float32        numel=16
backbone.model.features.3.block.2.1.running_var                        (16,)                          torch.float32        numel=16
backbone.model.features.3.block.2.1.num_batches_tracked                ()                             torch.int64          numel=1
backbone.model.features.4.block.0.0.weight                             (48, 16, 1, 1)                 torch.float32        numel=768
backbone.model.features.4.block.0.1.weight                             (48,)                          torch.float32        numel=48
backbone.model.features.4.block.0.1.bias                               (48,)                          torch.float32        numel=48
backbone.model.features.4.block.0.1.running_mean                       (48,)                          torch.float32        numel=48
backbone.model.features.4.block.0.1.running_var                        (48,)                          torch.float32        numel=48
backbone.model.features.4.block.0.1.num_batches_tracked                ()                             torch.int64          numel=1
backbone.model.features.4.block.1.0.weight                             (48, 1, 5, 5)                  torch.float32        numel=1200
backbone.model.features.4.block.1.1.weight                             (48,)                          torch.float32        numel=48
backbone.model.features.4.block.1.1.bias                               (48,)                          torch.float32        numel=48
backbone.model.features.4.block.1.1.running_mean                       (48,)                          torch.float32        numel=48
backbone.model.features.4.block.1.1.running_var                        (48,)                          torch.float32        numel=48
backbone.model.features.4.block.1.1.num_batches_tracked                ()                             torch.int64          numel=1
backbone.model.features.4.block.2.fc1.weight                           (16, 48, 1, 1)                 torch.float32        numel=768
backbone.model.features.4.block.2.fc1.bias                             (16,)                          torch.float32        numel=16
backbone.model.features.4.block.2.fc2.weight                           (48, 16, 1, 1)                 torch.float32        numel=768
backbone.model.features.4.block.2.fc2.bias                             (48,)                          torch.float32        numel=48
backbone.model.features.4.block.3.0.weight                             (24, 48, 1, 1)                 torch.float32        numel=1152
backbone.model.features.4.block.3.1.weight                             (24,)                          torch.float32        numel=24
backbone.model.features.4.block.3.1.bias                               (24,)                          torch.float32        numel=24
backbone.model.features.4.block.3.1.running_mean                       (24,)                          torch.float32        numel=24
backbone.model.features.4.block.3.1.running_var                        (24,)                          torch.float32        numel=24
backbone.model.features.4.block.3.1.num_batches_tracked                ()                             torch.int64          numel=1
backbone.model.features.5.block.0.0.weight                             (120, 24, 1, 1)                torch.float32        numel=2880
backbone.model.features.5.block.0.1.weight                             (120,)                         torch.float32        numel=120
backbone.model.features.5.block.0.1.bias                               (120,)                         torch.float32        numel=120
backbone.model.features.5.block.0.1.running_mean                       (120,)                         torch.float32        numel=120
backbone.model.features.5.block.0.1.running_var                        (120,)                         torch.float32        numel=120
backbone.model.features.5.block.0.1.num_batches_tracked                ()                             torch.int64          numel=1
backbone.model.features.5.block.1.0.weight                             (120, 1, 5, 5)                 torch.float32        numel=3000
backbone.model.features.5.block.1.1.weight                             (120,)                         torch.float32        numel=120
backbone.model.features.5.block.1.1.bias                               (120,)                         torch.float32        numel=120
backbone.model.features.5.block.1.1.running_mean                       (120,)                         torch.float32        numel=120
backbone.model.features.5.block.1.1.running_var                        (120,)                         torch.float32        numel=120
backbone.model.features.5.block.1.1.num_batches_tracked                ()                             torch.int64          numel=1
backbone.model.features.5.block.2.fc1.weight                           (32, 120, 1, 1)                torch.float32        numel=3840
backbone.model.features.5.block.2.fc1.bias                             (32,)                          torch.float32        numel=32
backbone.model.features.5.block.2.fc2.weight                           (120, 32, 1, 1)                torch.float32        numel=3840
backbone.model.features.5.block.2.fc2.bias                             (120,)                         torch.float32        numel=120
backbone.model.features.5.block.3.0.weight                             (24, 120, 1, 1)                torch.float32        numel=2880
backbone.model.features.5.block.3.1.weight                             (24,)                          torch.float32        numel=24
backbone.model.features.5.block.3.1.bias                               (24,)                          torch.float32        numel=24
backbone.model.features.5.block.3.1.running_mean                       (24,)                          torch.float32        numel=24
backbone.model.features.5.block.3.1.running_var                        (24,)                          torch.float32        numel=24
backbone.model.features.5.block.3.1.num_batches_tracked                ()                             torch.int64          numel=1
backbone.model.features.6.block.0.0.weight                             (120, 24, 1, 1)                torch.float32        numel=2880
backbone.model.features.6.block.0.1.weight                             (120,)                         torch.float32        numel=120
backbone.model.features.6.block.0.1.bias                               (120,)                         torch.float32        numel=120
backbone.model.features.6.block.0.1.running_mean                       (120,)                         torch.float32        numel=120
backbone.model.features.6.block.0.1.running_var                        (120,)                         torch.float32        numel=120
backbone.model.features.6.block.0.1.num_batches_tracked                ()                             torch.int64          numel=1
backbone.model.features.6.block.1.0.weight                             (120, 1, 5, 5)                 torch.float32        numel=3000
backbone.model.features.6.block.1.1.weight                             (120,)                         torch.float32        numel=120
backbone.model.features.6.block.1.1.bias                               (120,)                         torch.float32        numel=120
backbone.model.features.6.block.1.1.running_mean                       (120,)                         torch.float32        numel=120
backbone.model.features.6.block.1.1.running_var                        (120,)                         torch.float32        numel=120
backbone.model.features.6.block.1.1.num_batches_tracked                ()                             torch.int64          numel=1
backbone.model.features.6.block.2.fc1.weight                           (32, 120, 1, 1)                torch.float32        numel=3840
backbone.model.features.6.block.2.fc1.bias                             (32,)                          torch.float32        numel=32
backbone.model.features.6.block.2.fc2.weight                           (120, 32, 1, 1)                torch.float32        numel=3840
backbone.model.features.6.block.2.fc2.bias                             (120,)                         torch.float32        numel=120
backbone.model.features.6.block.3.0.weight                             (24, 120, 1, 1)                torch.float32        numel=2880
backbone.model.features.6.block.3.1.weight                             (24,)                          torch.float32        numel=24
backbone.model.features.6.block.3.1.bias                               (24,)                          torch.float32        numel=24
backbone.model.features.6.block.3.1.running_mean                       (24,)                          torch.float32        numel=24
backbone.model.features.6.block.3.1.running_var                        (24,)                          torch.float32        numel=24
backbone.model.features.6.block.3.1.num_batches_tracked                ()                             torch.int64          numel=1
backbone.model.features.7.block.0.0.weight                             (64, 24, 1, 1)                 torch.float32        numel=1536
backbone.model.features.7.block.0.1.weight                             (64,)                          torch.float32        numel=64
backbone.model.features.7.block.0.1.bias                               (64,)                          torch.float32        numel=64
backbone.model.features.7.block.0.1.running_mean                       (64,)                          torch.float32        numel=64
backbone.model.features.7.block.0.1.running_var                        (64,)                          torch.float32        numel=64
backbone.model.features.7.block.0.1.num_batches_tracked                ()                             torch.int64          numel=1
backbone.model.features.7.block.1.0.weight                             (64, 1, 5, 5)                  torch.float32        numel=1600
backbone.model.features.7.block.1.1.weight                             (64,)                          torch.float32        numel=64
backbone.model.features.7.block.1.1.bias                               (64,)                          torch.float32        numel=64
backbone.model.features.7.block.1.1.running_mean                       (64,)                          torch.float32        numel=64
backbone.model.features.7.block.1.1.running_var                        (64,)                          torch.float32        numel=64
backbone.model.features.7.block.1.1.num_batches_tracked                ()                             torch.int64          numel=1
backbone.model.features.7.block.2.fc1.weight                           (16, 64, 1, 1)                 torch.float32        numel=1024
backbone.model.features.7.block.2.fc1.bias                             (16,)                          torch.float32        numel=16
backbone.model.features.7.block.2.fc2.weight                           (64, 16, 1, 1)                 torch.float32        numel=1024
backbone.model.features.7.block.2.fc2.bias                             (64,)                          torch.float32        numel=64
backbone.model.features.7.block.3.0.weight                             (24, 64, 1, 1)                 torch.float32        numel=1536
backbone.model.features.7.block.3.1.weight                             (24,)                          torch.float32        numel=24
backbone.model.features.7.block.3.1.bias                               (24,)                          torch.float32        numel=24
backbone.model.features.7.block.3.1.running_mean                       (24,)                          torch.float32        numel=24
backbone.model.features.7.block.3.1.running_var                        (24,)                          torch.float32        numel=24
backbone.model.features.7.block.3.1.num_batches_tracked                ()                             torch.int64          numel=1
backbone.model.features.8.block.0.0.weight                             (72, 24, 1, 1)                 torch.float32        numel=1728
backbone.model.features.8.block.0.1.weight                             (72,)                          torch.float32        numel=72
backbone.model.features.8.block.0.1.bias                               (72,)                          torch.float32        numel=72
backbone.model.features.8.block.0.1.running_mean                       (72,)                          torch.float32        numel=72
backbone.model.features.8.block.0.1.running_var                        (72,)                          torch.float32        numel=72
backbone.model.features.8.block.0.1.num_batches_tracked                ()                             torch.int64          numel=1
backbone.model.features.8.block.1.0.weight                             (72, 1, 5, 5)                  torch.float32        numel=1800
backbone.model.features.8.block.1.1.weight                             (72,)                          torch.float32        numel=72
backbone.model.features.8.block.1.1.bias                               (72,)                          torch.float32        numel=72
backbone.model.features.8.block.1.1.running_mean                       (72,)                          torch.float32        numel=72
backbone.model.features.8.block.1.1.running_var                        (72,)                          torch.float32        numel=72
backbone.model.features.8.block.1.1.num_batches_tracked                ()                             torch.int64          numel=1
backbone.model.features.8.block.2.fc1.weight                           (24, 72, 1, 1)                 torch.float32        numel=1728
backbone.model.features.8.block.2.fc1.bias                             (24,)                          torch.float32        numel=24
