variant,kmodel_path,images_evaluated,num_gt,avg_best_iou,avg_best_iou_score,avg_best_score_iou,recall@IoU0.5_score>=0.003,recall@IoU0.5_score>=0.005,recall@IoU0.5_score>=0.01,recall@IoU0.5_score>=0.03,recall@IoU0.5_score>=0.05,recall@IoU0.5_score>=0.1,recall@IoU0.5_score>=0.2,recall@IoU0.5_score>=0.4,error
q0p_qat_150_noclip,exports/q0p_qat_150_noclip/model.kmodel,50,76,0.4088233837844651,0.23100864850149314,0.007448628406451159,0.18421052631578946,0.17105263157894737,0.17105263157894737,0.17105263157894737,0.17105263157894737,0.17105263157894737,0.17105263157894737,0.14473684210526316,
q0p_qat_noclip,exports/q0p_qat_noclip/model.kmodel,50,76,0.617370757917438,0.08966341255271752,0.0033777147206336794,0.4473684210526316,0.4342105263157895,0.4342105263157895,0.17105263157894737,0.13157894736842105,0.13157894736842105,0.13157894736842105,0.13157894736842105,
q1_squant_kld_u8u8,exports/q1_squant_kld_u8u8/model.kmodel,50,76,0.5702252347860235,0.002723340006540591,0.002135067460345441,0.2631578947368421,0.2236842105263158,0.11842105263157894,0.039473684210526314,0.02631578947368421,0.0,0.0,0.0,
q1p_qat1000_squant_kld_u8u8,exports/q1p_qat1000_squant_kld_u8u8/model.kmodel,50,76,0.6392580824040031,0.0035331542550059232,0.0,0.3157894736842105,0.21052631578947367,0.09210526315789473,0.039473684210526314,0.039473684210526314,0.02631578947368421,0.02631578947368421,0.02631578947368421,
q1p_qat_150_kld,exports/q1p_qat_150_kld/model.kmodel,50,76,0.38960165563171517,0.21127137023071746,0.0008652019856003764,0.21052631578947367,0.14473684210526316,0.14473684210526316,0.14473684210526316,0.14473684210526316,0.14473684210526316,0.14473684210526316,0.13157894736842105,
q1p_qat_squant_kld_u8u8,exports/q1p_qat_squant_kld_u8u8/model.kmodel,50,76,0.500513067320639,0.09853620661708287,0.005717664258900507,0.3684210526315789,0.3684210526315789,0.35526315789473684,0.32894736842105265,0.27631578947368424,0.23684210526315788,0.18421052631578946,0.18421052631578946,
q2_squant_kld_u8u8_noletter,exports/q2_squant_kld_u8u8_noletter/model.kmodel,50,76,0.5700419182957205,0.0025643078473589604,0.002135067460345441,0.2631578947368421,0.2236842105263158,0.11842105263157894,0.039473684210526314,0.02631578947368421,0.0,0.0,0.0,
q3_squant_kld_i16act_u8w,exports/q3_squant_kld_i16act_u8w/model.kmodel,50,76,0.5345780059298046,0.00588585913110843,0.012809078841630002,0.23684210526315788,0.19736842105263158,0.14473684210526316,0.07894736842105263,0.07894736842105263,0.06578947368421052,0.039473684210526314,0.013157894736842105,
q3p_qat_kld_i16act,exports/q3p_qat_kld_i16act/model.kmodel,50,76,0.43735528753601594,0.05971546946181518,0.0,0.17105263157894737,0.09210526315789473,0.07894736842105263,0.06578947368421052,0.039473684210526314,0.039473684210526314,0.02631578947368421,0.02631578947368421,
v00_aicube_baseline,exports/v00_aicube_baseline/model.kmodel,50,76,0.6217216977240608,0.0009900202283844057,0.02198469453848581,0.3684210526315789,0.25,0.19736842105263158,0.039473684210526314,0.02631578947368421,0.013157894736842105,0.013157894736842105,0.0,
v04_baked_imagenet_kld_i16act_u8w,exports/v04_baked_imagenet_kld_i16act_u8w/model.kmodel,50,76,0.5422949527798501,0.004862359911241679,0.012667562404883233,0.19736842105263158,0.15789473684210525,0.11842105263157894,0.07894736842105263,0.06578947368421052,0.06578947368421052,0.039473684210526314,0.013157894736842105,
v06_baked_imagenet_kld_u8u8,exports/v06_baked_imagenet_kld_u8u8/model.kmodel,50,76,0.5930755781181652,0.003750644156274288,0.011106331981202122,0.2631578947368421,0.23684210526315788,0.18421052631578946,0.13157894736842105,0.09210526315789473,0.05263157894736842,0.02631578947368421,0.0,
v09_mixquant_top10,exports/v09_mixquant_top10/model.kmodel,50,76,0.5870962233313973,0.009926753928946135,0.02120380774191653,0.27631578947368424,0.23684210526315788,0.19736842105263158,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.013157894736842105,0.013157894736842105,
v10_mixquant_cos07,exports/v10_mixquant_cos07/model.kmodel,50,76,0.5768871217368665,0.007484616460523715,0.01115017811548134,0.2631578947368421,0.18421052631578946,0.10526315789473684,0.07894736842105263,0.06578947368421052,0.039473684210526314,0.02631578947368421,0.013157894736842105,
v_float32,exports/v_float32/model.kmodel,50,76,0.8393487036982293,0.5244863468109375,0.5317769440186083,0.9868421052631579,0.9868421052631579,0.9868421052631579,0.9868421052631579,0.9868421052631579,0.9868421052631579,0.9868421052631579,0.9868421052631579,
