Name, Mac, FLOPs, OnChipMemTraffic, OffChipMemTraffic, OffChipMemLWTraffic, OffChipLoadStoreCnt, Time
TileLayerGroup_59, 6451200, 6451200, 1898174, 710400, 1757, 2, 0.0
TileLayerGroup_60, 19660800, 19660800, 2910562, 614400, 5154, 2, 0.0
TileLayerGroup_61, 68812800, 68812800, 4267686, 768000, 16070, 2, 0.0
TileAct1_11, 0, 0, 2414976, 384000, 896, 2, 0.0
TileLayerGroup_62, 29491200, 29491200, 2701252, 230400, 27652, 2, 0.0
TileLayerGroup_63, 78643200, 78643200, 3507750, 537600, 68710, 2, 0.0
TileAct1_12, 0, 0, 2417664, 384000, 3584, 2, 0.0
TileLayerGroup_64, 7833600, 7833600, 2447904, 177600, 31344, 3, 0.0
TileLayerGroup_65, 31231872, 6348672, 2635348, 100800, 80764, 2, 0.0
TileLayerGroup_66, 4147200, 4147200, 2083936, 115200, 15216, 3, 0.0
TileLayerGroup_67, 31231872, 6348672, 2635348, 100800, 80764, 2, 0.0
TileLayerGroup_68, 13533120, 7313472, 2685300, 43200, 36652, 2, 0.0
TileLayerGroup_69, 2073600, 2073600, 2086576, 144000, 2424, 3, 0.0
TileLayerGroup_70, 10457856, 4237056, 1743820, 115200, 11788, 2, 0.0
TileLayerGroup_71, 1843200, 1843200, 2066800, 134400, 2232, 3, 0.0
TileLayerGroup_72, 8680448, 3765376, 1445236, 105600, 9524, 2, 0.0
TileLayerGroup_73, 3456000, 3456000, 2220592, 201600, 3576, 3, 0.0
TileLayerGroup_74, 24343680, 7065600, 2965404, 172800, 23236, 2, 0.0
TileLayerGroup_75, 3456000, 3456000, 2220592, 201600, 3576, 3, 0.0
TileLayerGroup_76, 24343680, 7065600, 2965404, 172800, 23236, 2, 0.0
TileLayerGroup_77, 9275136, 6510336, 2603652, 105600, 8284, 2, 0.0
TileLayerGroup_78, 21619328, 23347328, 7604472, 230400, 7656, 2, 0.0
TileLayerGroup_79, 19200000, 17971200, 16328192, 1075200, 752, 2, 0.0
TileConv2d_4, 3686400, 3686400, 3860352, 182400, 4992, 2, 0.0
TileLayerGroup_80, 29491200, 29491200, 2180962, 537600, 25634, 2, 0.0
TileConv2d_5, 4915200, 4915200, 6409088, 384000, 1984, 2, 0.0
TileLayerGroup_81, 19660800, 19660800, 2290914, 768000, 4674, 2, 0.0
TileLayerGroup_82, 3225600, 3225600, 676286, 254400, 3101, 2, 0.0
TileLayerGroup_83, 19660800, 19660800, 1951842, 307200, 18402, 2, 0.0
TileLayerGroup_84, 58982400, 58982400, 2383398, 230400, 52326, 2, 0.0
TileLayerGroup_85, 44236800, 44236800, 1626466, 384000, 37922, 2, 0.0
TileLayerGroup_86, 9830400, 9830400, 1056610, 230400, 9250, 2, 0.0
TileLayerGroup_87, 21273600, 21938400, 1541632, 102000, 77479, 2, 0.0
TileLayerGroup_88, 63897600, 64512000, 2349862, 153600, 221094, 2, 0.0
TileLayerGroup_89, 44236800, 44236800, 1653858, 192000, 149474, 2, 0.0
TileLayerGroup_90, 14745600, 14745600, 997986, 153600, 51170, 2, 0.0
