model,image,raw_max,n_unique_top20,n_above_0.1,n_above_0.3,n_above_0.5,n_gts,mean_best_iou,mean_best_iou_score,mean_best_score,mean_best_score_iou
yolov8_existing_squant,003a746b-1s1b_0216.jpg,0.5034,9,21,20,5,2,0.8709,0.4888,0.4888,0.8709
yolov8_existing_squant,0148e2fc-2s1b_0030.jpg,0.5034,4,32,28,11,3,0.8723,0.5034,0.5034,0.5908
yolov8_existing_squant,01e56103-1s0b_0026.jpg,0.5034,12,11,11,5,1,0.7970,0.5034,0.5034,0.7970
yolov8_existing_squant,024b8494-0s1b_0068.jpg,0.3457,17,9,4,0,1,0.8273,0.3457,0.3457,0.8273
yolov8_existing_squant,031cf63e-2s1b_0123.jpg,0.5034,4,32,29,13,3,0.8372,0.5034,0.5034,0.5585
yolov8_existing_squant,03588042-1s1b_0018.jpg,0.5034,7,20,20,8,2,0.8905,0.5034,0.5034,0.8905
yolov8_existing_squant,03cb1869-1s1b_0028.jpg,0.5034,5,20,20,11,2,0.8837,0.5034,0.5034,0.8837
yolov8_existing_squant,04885a34-1s0b_0009.jpg,0.5034,11,12,8,5,1,0.8522,0.5034,0.5034,0.8522
yolov8_existing_squant,049a61de-1s1b_0112.jpg,0.5034,6,20,19,10,2,0.8836,0.5034,0.5034,0.8836
yolov8_existing_squant,04a01ca9-0s1b_0177.jpg,0.5034,14,9,8,2,1,0.9594,0.5034,0.5034,0.9594
yolov8_existing_squant,04f0c278-1s1b_0187.jpg,0.5034,8,19,16,5,2,0.8660,0.5034,0.5034,0.8660
yolov8_existing_squant,064d33e6-1s0b_0260.jpg,0.5034,9,10,10,9,1,0.8556,0.5034,0.5034,0.8556
yolov8_existing_squant,c27f5e94-2s1b_0031.jpg,0.5034,2,34,29,19,3,0.9114,0.5034,0.5034,0.5953
