model,image,raw_max,n_unique_top20,n_above_0.1,n_above_0.3,n_above_0.5,n_gts,mean_best_iou,mean_best_iou_score,mean_best_score,mean_best_score_iou
yolov8_kld_u8u8_calib74,003a746b-1s1b_0216.jpg,0.6860,9,23,17,16,2,0.8314,0.6860,0.6860,0.8314
yolov8_kld_u8u8_calib74,0148e2fc-2s1b_0030.jpg,0.6860,5,29,25,22,3,0.8930,0.6860,0.6860,0.6160
yolov8_kld_u8u8_calib74,01e56103-1s0b_0026.jpg,0.6860,12,11,8,6,1,0.8645,0.6860,0.6860,0.8645
yolov8_kld_u8u8_calib74,024b8494-0s1b_0068.jpg,0.5034,16,9,5,2,1,0.7707,0.5034,0.5034,0.7707
yolov8_kld_u8u8_calib74,031cf63e-2s1b_0123.jpg,0.6860,3,30,29,24,3,0.7738,0.6758,0.6860,0.5208
yolov8_kld_u8u8_calib74,03588042-1s1b_0018.jpg,0.6860,7,21,19,17,2,0.7662,0.6860,0.6860,0.7662
yolov8_kld_u8u8_calib74,03cb1869-1s1b_0028.jpg,0.6860,3,21,20,18,2,0.8241,0.6860,0.6860,0.8241
yolov8_kld_u8u8_calib74,04885a34-1s0b_0009.jpg,0.6860,12,11,10,8,1,0.7815,0.6860,0.6860,0.7815
yolov8_kld_u8u8_calib74,049a61de-1s1b_0112.jpg,0.6860,6,21,18,18,2,0.8807,0.6860,0.6860,0.8807
yolov8_kld_u8u8_calib74,04a01ca9-0s1b_0177.jpg,0.6553,16,10,10,5,1,0.7658,0.6553,0.6553,0.7658
yolov8_kld_u8u8_calib74,04f0c278-1s1b_0187.jpg,0.6860,6,21,20,18,2,0.8497,0.6860,0.6860,0.8497
yolov8_kld_u8u8_calib74,064d33e6-1s0b_0260.jpg,0.6860,9,10,10,10,1,0.8029,0.6860,0.6860,0.8029
yolov8_kld_u8u8_calib74,c27f5e94-2s1b_0031.jpg,0.6860,5,27,22,19,3,0.8081,0.6860,0.6860,0.5879
