model,image,raw_max,n_unique_top20,n_above_0.1,n_above_0.3,n_above_0.5,n_gts,mean_best_iou,mean_best_iou_score,mean_best_score,mean_best_score_iou
yolov8_squant_raw01_calib128,003a746b-1s1b_0216.jpg,0.5034,9,19,14,11,2,0.8135,0.5034,0.5034,0.8135
yolov8_squant_raw01_calib128,0148e2fc-2s1b_0030.jpg,0.5034,5,28,21,15,3,0.8378,0.5034,0.5034,0.5761
yolov8_squant_raw01_calib128,01e56103-1s0b_0026.jpg,0.5034,16,9,5,1,1,0.8458,0.5034,0.5034,0.8458
yolov8_squant_raw01_calib128,024b8494-0s1b_0068.jpg,0.3696,18,5,3,0,1,0.7707,0.3696,0.3696,0.7707
yolov8_squant_raw01_calib128,031cf63e-2s1b_0123.jpg,0.5034,3,29,23,17,3,0.7884,0.5034,0.5034,0.5353
yolov8_squant_raw01_calib128,03588042-1s1b_0018.jpg,0.5034,7,21,17,14,2,0.8739,0.5034,0.5034,0.8739
yolov8_squant_raw01_calib128,03cb1869-1s1b_0028.jpg,0.5034,1,20,20,20,2,0.8610,0.5034,0.5034,0.8610
yolov8_squant_raw01_calib128,04885a34-1s0b_0009.jpg,0.5034,15,11,7,5,1,0.7794,0.5034,0.5034,0.7794
yolov8_squant_raw01_calib128,049a61de-1s1b_0112.jpg,0.5034,5,20,17,16,2,0.8655,0.5034,0.5034,0.8655
yolov8_squant_raw01_calib128,04a01ca9-0s1b_0177.jpg,0.5034,17,9,3,1,1,0.7312,0.5034,0.5034,0.7312
yolov8_squant_raw01_calib128,04f0c278-1s1b_0187.jpg,0.5034,4,20,18,17,2,0.8018,0.5034,0.5034,0.8018
yolov8_squant_raw01_calib128,064d33e6-1s0b_0260.jpg,0.5034,11,10,10,8,1,0.8029,0.5034,0.5034,0.8029
yolov8_squant_raw01_calib128,c27f5e94-2s1b_0031.jpg,0.5034,5,24,20,14,3,0.8725,0.5034,0.5034,0.5879
